table_id,filename,title,report_section,main_text_or_appendix,source_scenarios,source_files,key_message,validation_status
I1,tables/i1_*.csv,Final model configuration,Methods/Results,main,V4 final,"{'stage1': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-stage1'), 'nuclear_sweep': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-nuclear-sweep'), 'reactor': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-reactor-comparison'), 'decarbonised': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-decarbonised-adequacy'), 'flexibility': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-smr-flexibility'), 'pypsa_gamspy': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-pypsa-gamspy')}",Final model configuration,pending
I2,tables/i2_*.csv,Installed capacities,Methods/Results,appendix,V4 final,"{'stage1': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-stage1'), 'nuclear_sweep': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-nuclear-sweep'), 'reactor': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-reactor-comparison'), 'decarbonised': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-decarbonised-adequacy'), 'flexibility': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-smr-flexibility'), 'pypsa_gamspy': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-pypsa-gamspy')}",Installed capacities,pending
I3,tables/i3_*.csv,Economic and technical input parameters,Methods/Results,appendix,V4 final,"{'stage1': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-stage1'), 'nuclear_sweep': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-nuclear-sweep'), 'reactor': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-reactor-comparison'), 'decarbonised': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-decarbonised-adequacy'), 'flexibility': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-smr-flexibility'), 'pypsa_gamspy': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-pypsa-gamspy')}",Economic and technical input parameters,pending
D1,tables/d1_*.csv,Dunkelflaute severity parameters,Methods/Results,appendix,V4 final,"{'stage1': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-stage1'), 'nuclear_sweep': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-nuclear-sweep'), 'reactor': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-reactor-comparison'), 'decarbonised': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-decarbonised-adequacy'), 'flexibility': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-smr-flexibility'), 'pypsa_gamspy': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-pypsa-gamspy')}",Dunkelflaute severity parameters,pending
S1,tables/s1_*.csv,Complete final scenario matrix,Methods/Results,main,V4 final,"{'stage1': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-stage1'), 'nuclear_sweep': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-nuclear-sweep'), 'reactor': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-reactor-comparison'), 'decarbonised': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-decarbonised-adequacy'), 'flexibility': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-smr-flexibility'), 'pypsa_gamspy': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-pypsa-gamspy')}",Complete final scenario matrix,pending
R1,tables/r1_*.csv,Matched Base versus severe headline results,Methods/Results,main,V4 final,"{'stage1': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-stage1'), 'nuclear_sweep': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-nuclear-sweep'), 'reactor': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-reactor-comparison'), 'decarbonised': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-decarbonised-adequacy'), 'flexibility': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-smr-flexibility'), 'pypsa_gamspy': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-pypsa-gamspy')}",Matched Base versus severe headline results,pending
A1,tables/a1_*.csv,Adequacy results,Methods/Results,main,V4 final,"{'stage1': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-stage1'), 'nuclear_sweep': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-nuclear-sweep'), 'reactor': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-reactor-comparison'), 'decarbonised': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-decarbonised-adequacy'), 'flexibility': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-smr-flexibility'), 'pypsa_gamspy': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-pypsa-gamspy')}",Adequacy results,pending
T1,tables/t1_*.csv,Reactor parameters,Methods/Results,main,V4 final,"{'stage1': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-stage1'), 'nuclear_sweep': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-nuclear-sweep'), 'reactor': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-reactor-comparison'), 'decarbonised': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-decarbonised-adequacy'), 'flexibility': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-smr-flexibility'), 'pypsa_gamspy': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-pypsa-gamspy')}",Reactor parameters,pending
T2,tables/t2_*.csv,Reactor comparison results,Methods/Results,appendix,V4 final,"{'stage1': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-stage1'), 'nuclear_sweep': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-nuclear-sweep'), 'reactor': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-reactor-comparison'), 'decarbonised': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-decarbonised-adequacy'), 'flexibility': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-smr-flexibility'), 'pypsa_gamspy': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-pypsa-gamspy')}",Reactor comparison results,pending
F1,tables/f1_*.csv,Flexibility sensitivity,Methods/Results,appendix,V4 final,"{'stage1': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-stage1'), 'nuclear_sweep': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-nuclear-sweep'), 'reactor': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-reactor-comparison'), 'decarbonised': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-decarbonised-adequacy'), 'flexibility': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-smr-flexibility'), 'pypsa_gamspy': PosixPath('/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-comparison-v4-pypsa-gamspy')}",Flexibility sensitivity,pending
