parameter_or_series,value_or_file,original_source,model_source,transformation,final_unit,report_citation_key,confidence_or_limitation
Electricity demand,loads_t.p_set (224 × 3-hour snapshots),ENTSO-E via PyPSA-Eur,config/inre/config.base.yaml,Cluster to 10 zones; extend to 28-day window,MW,pypsa_eur_entsoe,Deterministic exogenous load; not forecast
Onshore wind availability,generators_t.p_max_pu (onwind),Atlite ERA5/SARAH cutout + Base network core,scripts/inre/build_stylised_dunkelflaute_v4.py,Stylised Dunkelflaute derating m_k(t),p.u.,atlite_era5,Stylised stress envelope; not historical reconstruction
Offshore wind availability,generators_t.p_max_pu (offwind-*),Atlite ERA5/SARAH cutout + Base network core,scripts/inre/build_stylised_dunkelflaute_v4.py,Stylised Dunkelflaute derating,p.u.,atlite_era5,Stylised modelling assumption
Solar availability,"generators_t.p_max_pu (solar, solar-hsat)",Atlite ERA5/SARAH cutout + Base network core,scripts/inre/build_stylised_dunkelflaute_v4.py,Stylised Dunkelflaute derating,p.u.,atlite_era5,Stylised modelling assumption
Installed generation capacity,generators.p_nom,powerplantmatching 2024,PyPSA-Eur prepare_network,Fixed; no expansion,MW,powerplantmatching,Snapshot of existing fleet
Transmission capacity,"lines.s_nom, links.p_nom",PyPSA-Eur clustered network,config/inre/config.base.yaml,Frozen (v0 transmission limit),MW,pypsa_eur,Simplified zonal representation
Fuel / marginal costs,generators.marginal_cost,technology-data (2050) + custom nuclear costs,data/technology-data + data/inre/custom_costs_nuclear.csv,Harmonised to solved-network medians for GAMSPy,EUR/MWh,technology_data,Techno-economic assumptions not market prices
CO2 coefficients,carriers.co2_emissions,technology-data / PyPSA-Eur defaults,scripts/inre/apply_inre_network.py,Patched for thermal generators,tCO2/MWh_th,technology_data,Outcome reporting only in main scenarios
Nuclear CAPEX / FOM / VOM,custom_costs_nuclear.csv,technology-data + project assumptions,data/inre/custom_costs_nuclear.csv,SMR/MSR/LFR harmonised operational dispatch,"EUR/MW, EUR/MWyr",technology_data_nuclear,Indicative economics; harmonised across reactor types
VOLL,10000,Stylised modelling assumption,"run_v4_* scripts, gamspy-de/config/model_v4.yaml",Load-shedding generator marginal cost,EUR/MWh,,Monetises unserved energy; not real outage cost
Discount rate / lifetime,"config.costs discountrate, lifetime",PyPSA-Eur config,config/inre/config.base.yaml,Annuity for indicative nuclear fixed costs,"fraction, years",pypsa_eur,Used for indicative period-equivalent costs only
