figure_id,source_folder,source_file,plotted_variables,temporal_scope,script,scenarios,key_values_checked,pdf_output,png_output,status,notes
FIGURE_I1,results/inre-de-stylised-df-severe-v4/,networks/base_s_10_elec_.nc,national demand [GW],28-day modelling window,scripts/inre/final_report/figures_input.py,stylised-df-severe-v4,full_window=42.74 TWh (target 42.74); core=21.15 TWh (target 21.15),/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/pdf/FIGURE_I1.pdf,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/png/FIGURE_I1.png,generated,; data_csv=/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/data/figures/figure_i1_data.csv
FIGURE_I2,results/inre-de-stylised-df-severe-v4/; results/inre-de-stylised-df-severe-decarb-v4/,networks/base_s_10_elec_.nc,installed capacity by carrier group [GW],static installed capacity,scripts/inre/final_report/figures_input.py,fossil-rich; coal/lignite-free,VRE≈133.3 GW; coal≈20.35; lignite≈19.46; CCGT≈30.78; OCGT/oil≈11.80; biomass/waste/geo≈11.18,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/pdf/FIGURE_I2.pdf,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/png/FIGURE_I2.png,generated,; data_csv=/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/data/figures/figure_i2_data.csv
FIGURE_I4,V4 pipeline,scripts/inre/*.py,modelling workflow steps,n/a (workflow diagram),scripts/inre/final_report/figures_input.py,all V4 scenarios,10 workflow boxes; V4 terminology only,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/pdf/FIGURE_I4.pdf,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/png/FIGURE_I4.png,generated,; data_csv=/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/data/figures/figure_i4_data.csv
FIGURE_D2,results/inre-de-matched-base-v4/; results/inre-de-stylised-df-severe-v4/,networks/base_s_10_elec_.nc,capacity-weighted capacity factor [p.u.] by VRE technology,28-day modelling window,scripts/inre/final_report/figures_dunkelflaute.py,matched reference; severe,"severe plateau multipliers: onshore 0.20, offshore 0.25, solar 0.15",/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/pdf/FIGURE_D2.pdf,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/png/FIGURE_D2.png,generated,; data_csv=/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/data/figures/figure_d2_data.csv
FIGURE_D3,results/inre-de-stylised-df-severe-v4/,networks/base_s_10_elec_.nc,"demand, available VRE, residual load [GW]",28-day modelling window (severe profile),scripts/inre/final_report/figures_dunkelflaute.py,severe,residual load = demand − available VRE (not dispatched VRE),/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/pdf/FIGURE_D3.pdf,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/png/FIGURE_D3.png,generated,; data_csv=/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/data/figures/figure_d3_data.csv
FIGURE_R1,results/inre-comparison-v4-stage1/,stage1_summary.csv; solved networks,dispatched generation by carrier group [TWh],28-day modelling window,scripts/inre/final_report/figures_results.py,matched reference; severe,CCGT increase≈1.96 TWh (target 1.95); EENS=0,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/pdf/FIGURE_R1.pdf,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/png/FIGURE_R1.png,generated,; data_csv=/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/data/figures/figure_r1_data.csv
FIGURE_R2,results/inre-de-matched-base-v4/; results/inre-de-stylised-df-severe-v4/,networks/base_s_10_elec_.nc,stacked dispatched generation and demand [GW],14-day Dunkelflaute core,scripts/inre/final_report/figures_results.py,matched reference; severe,same y-axis and carrier order in both panels,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/pdf/FIGURE_R2.pdf,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/png/FIGURE_R2.png,generated,; data_csv=/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/data/figures/figure_r2_data.csv
FIGURE_R3,results/inre-comparison-v4-stage1/; results/inre-comparison-v4-decarbonised-adequacy/,solved networks,generation stack and demand at critical snapshots [GW],selected snapshots (14-day core / full window),scripts/inre/final_report/figures_results.py,severe fossil-rich; decarbonised no nuclear,five objectively selected snapshots with timestamps,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/pdf/FIGURE_R3.pdf,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/png/FIGURE_R3.png,generated,; data_csv=/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/data/figures/figure_r3_data.csv
FIGURE_P1,results/inre-de-matched-base-v4/; results/inre-de-stylised-df-severe-v4/,networks/base_s_10_elec_.nc (buses_t.marginal_price),demand-weighted national modelled marginal electricity price [EUR/MWh],28-day modelling window,scripts/inre/final_report/figures_prices.py,matched reference; severe,y-limit based on non-scarcity values; no load shedding in either scenario,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/pdf/FIGURE_P1.pdf,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/png/FIGURE_P1.png,generated,; data_csv=/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/data/figures/figure_p1_data.csv
FIGURE_P2,results/inre-comparison-v4-decarbonised-adequacy/,solved networks,sorted modelled marginal electricity prices [EUR/MWh],28-day modelling window,scripts/inre/final_report/figures_prices.py,matched reference; severe; decarbonised no nuclear; decarbonised +4.5 GW SMR,decarb no-nuclear≈69 VOLL snapshots; decarb SMR≈52 VOLL snapshots,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/pdf/FIGURE_P2.pdf,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/png/FIGURE_P2.png,generated,; data_csv=/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/data/figures/figure_p2_data.csv
FIGURE_N1,results/inre-comparison-v4-nuclear-sweep/,nuclear_sweep_summary.csv,nuclear generation [TWh]; capacity factor [%],14-day Dunkelflaute core,scripts/inre/final_report/figures_sensitivity.py,"0, 1.5, 3.0, 4.5, 7.5 GW generic nuclear",0 GW→0.00 TWh; 1.5→0.44/87.3%; 3.0→0.87/86.7%; 4.5→1.30/86.3%; 7.5→2.15/85.5%,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/pdf/FIGURE_N1.pdf,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/png/FIGURE_N1.png,generated,; data_csv=/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/data/figures/figure_n1_data.csv
FIGURE_A1,results/inre-comparison-v4-decarbonised-adequacy/,adequacy_summary_full_window.csv; solved networks,three-hourly load shedding [GW],28-day modelling window,scripts/inre/final_report/figures_sensitivity.py,decarbonised no nuclear; decarbonised +4.5 GW SMR,peak 18.06 GW (no nuclear); peak 14.01 GW (+4.5 GW SMR),/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/pdf/FIGURE_A1.pdf,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/png/FIGURE_A1.png,generated,; data_csv=/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/data/figures/figure_a1_data.csv
FIGURE_A2,results/inre-comparison-v4-decarbonised-adequacy/,adequacy_summary_full_window.csv,cumulative deterministic unserved energy [GWh],28-day modelling window,scripts/inre/final_report/figures_sensitivity.py,decarbonised no nuclear; decarbonised +4.5 GW SMR,1840.0 GWh (no nuclear); 1088.7 GWh (+4.5 GW SMR); −40.8%,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/pdf/FIGURE_A2.pdf,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/png/FIGURE_A2.png,generated,; data_csv=/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/data/figures/figure_a2_data.csv
FIGURE_A4,results/inre-comparison-v4-decarbonised-adequacy/,solved networks,"stacked generation, demand, load shedding deficit [GW]",±36 h around peak load shedding,scripts/inre/final_report/figures_sensitivity.py,decarbonised no nuclear; decarbonised +4.5 GW SMR,SMR reduces but does not eliminate deficit; nuclear shown in purple,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/pdf/FIGURE_A4.pdf,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/png/FIGURE_A4.png,generated,; data_csv=/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/data/figures/figure_a4_data.csv
FIGURE_G1,results/inre-comparison-v4-pypsa-gamspy/,adequacy_comparison.csv; kpi_comparison.csv,deterministic unserved energy [GWh]; peak load shedding [GW],28-day modelling window,scripts/inre/final_report/figures_sensitivity.py,decarbonised no nuclear; decarbonised +4.5 GW SMR,EENS agreement exact; peak load shedding agreement exact,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/pdf/FIGURE_G1.pdf,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/png/FIGURE_G1.png,generated,; data_csv=/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/data/figures/figure_g1_data.csv
FIGURE_F1,results/inre-comparison-v4-smr-flexibility/,flexibility_impact_summary.csv; solved networks,nuclear output [GW]; renewable curtailment [TWh],28-day modelling window,scripts/inre/final_report/figures_sensitivity.py,decarbonised +4.5 GW SMR flexible; limited-flexibility,curtailment increase≈0.11 TWh; EENS and peak load shedding unchanged,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/pdf/FIGURE_F1.pdf,/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/figures/png/FIGURE_F1.png,generated,; data_csv=/Users/eminkartci/Desktop/codenv/INRE-Project-PyPSA-EUR/results/inre-final-report-package/data/figures/figure_f1_data.csv
