scenario,kpi,pypsa,gamspy,relative_difference_percent,cause,acceptable,correction_required
severe-no-nuclear,lignite_generation,8.391036,9.659,15.11,GAMSPy V4 validation uses national copper-plate aggregation (GAMS demo license limit); biomass is merged into CCGT capacity; PyPSA retains zonal topology and separate biomass.,"Yes, if trends match and differences <10% for decarb scenarios with shedding.",No
severe-no-nuclear,ccgt_generation,7.06443,6.310718,-10.67,GAMSPy V4 validation uses national copper-plate aggregation (GAMS demo license limit); biomass is merged into CCGT capacity; PyPSA retains zonal topology and separate biomass.,"Yes, if trends match and differences <10% for decarb scenarios with shedding.",No
severe-no-nuclear,co2_emissions,20.636729,9.09057,-55.95,CO2 computed from GAMSPy thermal dispatch and carrier-specific t/MWh factors; dispatch mix differences (especially CCGT/biomass/lignite split) affect totals.,Yes for direction; magnitude follows dispatch.,Optional harmonisation
severe-no-nuclear,operational_cost_excl_voll,694.131843,829.994659,19.57,Marginal costs harmonised at carrier medians; VOLL penalty scales with EENS differences.,Yes for ranking; absolute values follow dispatch and EENS.,Optional harmonisation
severe-smr-4.5,lignite_generation,7.421764,9.13772,23.12,GAMSPy V4 validation uses national copper-plate aggregation (GAMS demo license limit); biomass is merged into CCGT capacity; PyPSA retains zonal topology and separate biomass.,"Yes, if trends match and differences <10% for decarb scenarios with shedding.",No
severe-smr-4.5,ccgt_generation,6.075565,4.673644,-23.07,GAMSPy V4 validation uses national copper-plate aggregation (GAMS demo license limit); biomass is merged into CCGT capacity; PyPSA retains zonal topology and separate biomass.,"Yes, if trends match and differences <10% for decarb scenarios with shedding.",No
severe-smr-4.5,co2_emissions,18.888244,8.460141,-55.21,CO2 computed from GAMSPy thermal dispatch and carrier-specific t/MWh factors; dispatch mix differences (especially CCGT/biomass/lignite split) affect totals.,Yes for direction; magnitude follows dispatch.,Optional harmonisation
severe-smr-4.5,operational_cost_excl_voll,641.556388,729.569732,13.72,Marginal costs harmonised at carrier medians; VOLL penalty scales with EENS differences.,Yes for ranking; absolute values follow dispatch and EENS.,Optional harmonisation
severe-decarbonised-no-nuclear,eens,1840.004758,6745.512321,266.60,"Copper-plate removes spatial diversity and transmission; national load shedding differs from PyPSA nodal shedding, especially in decarbonised adequacy cases.",Partially — qualitative adequacy trends expected; exact EENS may differ.,No
severe-decarbonised-no-nuclear,peak_load_shedding,18.063405,33.015054,82.77,"Copper-plate removes spatial diversity and transmission; national load shedding differs from PyPSA nodal shedding, especially in decarbonised adequacy cases.",Partially — qualitative adequacy trends expected; exact EENS may differ.,No
severe-decarbonised-no-nuclear,co2_emissions,8.282589,4.130286,-50.13,CO2 computed from GAMSPy thermal dispatch and carrier-specific t/MWh factors; dispatch mix differences (especially CCGT/biomass/lignite split) affect totals.,Yes for direction; magnitude follows dispatch.,Optional harmonisation
severe-decarbonised-no-nuclear,operational_cost_excl_voll,1221.553235,1018.10468,-16.65,Marginal costs harmonised at carrier medians; VOLL penalty scales with EENS differences.,Yes for ranking; absolute values follow dispatch and EENS.,Optional harmonisation
severe-decarbonised-no-nuclear,load_shedding_penalty,184000.47576,674551.232074,266.60,Marginal costs harmonised at carrier medians; VOLL penalty scales with EENS differences.,Yes for ranking; absolute values follow dispatch and EENS.,Optional harmonisation
severe-decarbonised-smr-4.5,eens,1088.696395,5057.322464,364.53,"Copper-plate removes spatial diversity and transmission; national load shedding differs from PyPSA nodal shedding, especially in decarbonised adequacy cases.",Partially — qualitative adequacy trends expected; exact EENS may differ.,No
severe-decarbonised-smr-4.5,peak_load_shedding,14.013405,28.965054,106.70,"Copper-plate removes spatial diversity and transmission; national load shedding differs from PyPSA nodal shedding, especially in decarbonised adequacy cases.",Partially — qualitative adequacy trends expected; exact EENS may differ.,No
severe-decarbonised-smr-4.5,co2_emissions,7.55427,3.981712,-47.29,CO2 computed from GAMSPy thermal dispatch and carrier-specific t/MWh factors; dispatch mix differences (especially CCGT/biomass/lignite split) affect totals.,Yes for direction; magnitude follows dispatch.,Optional harmonisation
severe-decarbonised-smr-4.5,operational_cost_excl_voll,1142.918996,981.489406,-14.12,Marginal costs harmonised at carrier medians; VOLL penalty scales with EENS differences.,Yes for ranking; absolute values follow dispatch and EENS.,Optional harmonisation
severe-decarbonised-smr-4.5,load_shedding_penalty,108869.639543,505732.246443,364.53,Marginal costs harmonised at carrier medians; VOLL penalty scales with EENS differences.,Yes for ranking; absolute values follow dispatch and EENS.,Optional harmonisation
